공 사 명,공 종,원 청 사,발 주 자,공사기간,"공사금액
(천원)"
"한수식품 신축 및 증축공사 
/ 토목공사및 부지정리",토공사,동진토건㈜,영풍종함건설(주),2010.09~2010.12,"30,800"
"상산곡동 79-1 축사 철거 
/ 철거공사",비계·구조물해체공사,동진토건㈜,영풍종함건설(주),2010.10~2010.12,"22,000"
송탄 여자고등학교,토공사,동진토건㈜,영풍종합건설(주),2010.10~2010.12,"10,780"
"소규모시설보수 및 개선공사 
/토목공사",토공사,천영건설(주),대통령실경호처,2010.11~2010.12,"80,300"
천현동 공동묘지 수해복구공사,토공사,하남시청,하남시청,2011.04~2011.05,"11,220"
경기하남 상산곡동 269번지외 3필지 근린생활시설 신축공사,토공사,티오피종건㈜,티오피종건㈜,2011.07~2011.08,"82,000"
"경기도 도립중앙도서관 광주분관
석면텍스 철거 및 부대공사",비계·구조물해체공사,동진토건㈜,경기도교육청,2011.10~2011.11,"17,073"
길음지점 (석면) 철거공사,비계·구조물해체공사,동진토건㈜,국민체육진흥공단,2011.12~2012.01,"39,592"
"서울 관악구 봉천동 867-9 /
철거 및 토목공사",비계·구조물해체공사,천영건설(주),다솜,2012.04~2012.05,"201,300"
"원주 세영 리첼아파트 신축공사 /
가설흙막이공사",토공사,세영종합건설(주),세영종합건설(주),2012.02~2012.12,"183,900"
하남 선동둔치야구장 포설공사,토공사,동진토건㈜,경기 하남시,2012.03~2012.03,"35,184"
하남선동야구장 물탱크 및 매트설치공사,토공사,동진토건㈜,하남시청,2012.05~2012.05,"13,590"
"안성시 대덕면 공장부지조성 /
토목공사(부지조성공사)",토공사,(주)광장건축사,(주)광장건축사,2012.05~2012.06,"58,300"
선동야구장 마사토 포설공사,토공사,동진토건㈜,하남시청,2012.08~2012.08,"21,190"
"복합문화복지센타 기반공사 /
가시설공사",토공사,㈜충남토건,충남 예산군,2012.11~2012.12,"17,500"
광지원초 석면텍스 철거공사,비계·구조물해체공사,동진토건㈜,"경기광주하남
교육지원청",2013.01~2013.01,"33,060"
"성산동 레이젠트리 신축공사 /
토공 및 흙막이공사",토공사,㈜모브건설,㈜모브건설,2013.01~2013.02,"150,700"
4-2공구 확장조성(가시설)공사,토공사,KC환경개발(주),KC환경개발(주),2013.02~2013.12,"1,270,000"
이화산업(주) 하남공장 토공사,토공사,동진토건㈜,이화산업(주),2013.02~2013.12,"1,919,370"
"동두천시 중앙2 빗물펌프장지구 용량증설공사 /
토공사 및 가시설공사",토공사,녹원종합건설,동두천시,2013.04~2013.12,"589,800"
하남농협 경제사업시설(창고등) 바닥공사,토공사,동진토건㈜,하남농협,2013.10~2013.10,"74,780"
"금천구 시흥동 근린생활 신축공사 
중 철거 및 토공사","토공사, 
비계·구조물해체공사",이하우징코리아㈜,최인숙,2014.02~2014.03,"73,700"
"경기도 하남시 배알미동 100 /
부대토목공사",토공사,"농업회사법인
㈜검단농장","농업회사법인
㈜검단농장",2014.04~2014.04,"15,184"
동두천시 중앙3 빗물펌프장지구 용량증설공사 ,상하수도공사,금강산업㈜,동두천시,2014.04~2014.12,"670,893"
계 약 명,공 종,원 청 사,발 주 자,공사기간,"공사금액
(천원)"
이데아씨티 신축공사중 토공사,토공사,광성종합건설(주),㈜엠앤엠,2014.08~2014.10,"450,000"
NIPA(본원)후문주차장 바닥 아스콘 포장공사,토공사,동진토건㈜,정보통신산업진흥원,2014.11~2014.12,"14,080"
분당경영고 화장실 개선공사에 따른 석면 철거공사,비계·구조물해체공사,동진토건㈜,"경기도성남
교육지원청",2014.11~2014.12,"6,932"
"KC환경개발㈜ 침출수 처리시설 조성공사 
/ 토목,구조물공사",철근콘크리트공사,동진토건㈜,KC환경개발(주),2014.12~2015.04,"1,948,990"
영등포구 신길동 463-17철거공사,비계·구조물해체공사,동진토건㈜,전인순,2015.04~2015.04,"13,200"
종교센타 신축공사 중 파일항타공사,보링그라우팅·파일공사,이에스개발㈜,경기남부시설단,2015.06~2016.06,"133,705"
경안중 냉난방개선 부대공사(석면텍스등) ,비계·구조물해체공사,동진토건㈜,"경기광주하남
교육지원청",2015.07~2015.08,"5,845"
신장중 과학실 석면텍스 철거 및 재 설치공사,비계·구조물해체공사,동진토건㈜,"경기광주하남
교육지원청",2015.08~2015.08,"17,028"
하남시 신장동 427-117.427-412 철거공사,비계·구조물해체공사,동진토건㈜,그린나래,2015.09~2015.09,"24,500"
서울강서구 방화동 289-1 철거공사,비계·구조물해체공사,동진토건㈜,그린나래,2015.12~2015.12,"20,000"
폐기물매립장 연직차수공 공사,보링그라우팅·파일공사,동진토건㈜,KC환경서비스㈜,2015.12~2016.01,"196,000"
덕풍2동 구청사 철거공사,비계·구조물해체공사,동진토건㈜,경기도 하남시,2016.06~2016.07,"34,032"
풍납동 보상완료건물 철거공사(80-2외2필지),비계·구조물해체공사,동진토건㈜,서울시 송파구,2016.09~2016.10,"17,928"
서울 동작구 흑석동 186-126,비계·구조물해체공사,공간속의공간,이가다기사이고,2016.10~2016.11,"28,094"
"미사지구 중상 1-1, 1-2블럭","토공사, 
비계·구조물해체공사",동진토건㈜,㈜평화토공씨엔씨,2016.10~2016.11,"29,700"
농구장 우레탄 바닥 철거 및 폐기 계약,비계·구조물해체공사,동진토건㈜,경기교육청 보평고,2017.01~2017.01,"6,710"
태평초 마사토 트랙 조성공사,토공사,동진토건㈜,경기성남 교육지원청,2017.02~2017.03,"31,952"
과천주공1단지 재건축정비사업조합(시공) 토사반출공사,토공사,(주)포스코건설,"과천주공1단지
재건축조합",2017.02~2017.12,"32,120"
경기 의정부시 평화로551번길 6. 숙박시설철거공사,비계·구조물해체공사,동진토건㈜,의정부가우디캐슬,2017.02~2017.03,"66,000"
선동둔치 야구장 마사토 포설공사(시공) ,토공사,동진토건㈜,경기 하남시,2017.02~2017.03,"14,685"
인천효성중 운동장 마사토교체공사,토공사,동진토건㈜,인천효성중학교,2017.05~2017.05,"20,200"
인천가현중학교 운동장 보수공사,토공사,동진토건㈜,인천가현중학교,2017.07~2017.08,"15,000"
국유지 무단점유 시설 철거공사,비계·구조물해체공사,동진토건㈜,국민체육진흥공단,2018.05~2018.08,"4,510"
덕풍시장 주차장 (태양마트길)바닥보수공사,토공사,동진토건㈜,경기 하남시,2018.06~2018.06,"18,300"
계 약 명,공 종,원 청 사,발 주 자,공사기간,"공사금액
(천원)"
"인천도화 주상복합 신축공사 
세륜기 기초설치 및 현장진출입로 설치용역",철근콘크리트공사,(주)포스코건설,네오밸류디앤씨,2018.07~2018.08,"17,500"
경기도 하남시 덕풍동 41-5번지 철거공사,비계·구조물해체공사,동진토건㈜,이명창 ,2018.08~2018.08,"18,150"
경기도 하남시 하산곡동 389번지 철거공사,비계·구조물해체공사,동진토건㈜,석명자,2018.09~2018.09,"4,950"
"미산동 247-1외 1필지 내 근생시설 신축공사
/ 토공사",토공사,유니스이앤씨(주) ,코스,2018.10~2018.12,"108,900"
서울시 영등포구 양평동4가 32-5 철거공사,비계·구조물해체공사,동진토건㈜,"대한예수교장로회
주님사랑교회",2018.11~2018.12,"25,025"
하남시 광암동 403 공장 신축 파일 및 가시설공사,보링그라우팅·파일공사,수림종합건설㈜,,2019.03~2019.05,"180,000"
하남시 초이동 234-1 남서울에어콘랜드 토목공사,토공사,수림종합건설㈜,,2019.06~2019.07,"145,000"
하남시 광암동 진경산업 오염수 저장탱크 흙막이공사,토공사,수림종합건설㈜,,2019.06~2019.07,"20,000"
노인복지관 리모델링(및증축)공사 석면철거공사,비계·구조물해체공사,동진토건㈜,경기 하남시,2018.12~2019.01,"29,561"
덕풍전통시장 주차장 옥외쉼터설치공사,토공사,동진토건㈜,경기 하남시,2019.11~2019.11,"18,430"
"수원시하수관로정비(입북,금곡,호매실)공사(토목및기계) /
토공사(2공구)",토공사,한동건설㈜,경기도 수원시,2019.05~2020.04,"621,600"
화랑관 지정폐기물 철거공사,비계·구조물해체공사,동진토건㈜,"국방정보본부
제777사령부",2019.12~2020.05,"23,002"
"이매동 54-1번지 외 1필지 신축빌라공사 /
토목공사",토공사,㈜한그린,,2019.04~2019.08,"1,452,000"
"영동 전용철도 부대토목공사 /
토공사",토공사,동위건설산업,"한국남동발전㈜
영동에코발전본부",2020.05~2020.09,"480,000"
00부대 유휴시설 철거공사 석면철거공사,비계·구조물해체공사,동진토건㈜,제7273부대,2020.06~2020.12,"32,254"
"갈미어린이공원 지하공영주차장 조성공사 /
가시설공사",토공사,청우종합건설㈜,경기 의왕시,2020.06~2021.02,"645,337"
"용인 신갈 STAYTOWER신갈 신축공사 /
가시설해체공사",토공사,㈜야놀자씨앤디,스테이타워컴퍼니,2020.08~2020.10,"57,530"
하남주유소철거공사,비계·구조물해체공사,동진토건㈜,임대,2020.12~2020.12,"139,567"
풍수해예방 지방하천 소규모 준설공사,토공사,동진토건㈜,경기 하남시,2020.10~2020.11,"57,891"
경기도 양평군 백운길 144-12(요사채 2개동) 철거공사,비계·구조물해체공사,동진토건㈜,"재단법인 삼보사
유지재단",2020.11~2020.11,"88,000"
"이천부발 A사업지 물류센터 신축공사(토목, 건축)
토목공사",토공사,더본종합건설㈜,㈜하나은행,2020.12~2022.05,"4,170,100"
"앰코테크놀로지코리아㈜ K5 M3F East Line 및 
물류동 증축공사철거공사",비계·구조물해체공사,㈜한얼종합건설,"앰코테크놀로지
코리아㈜",2021.03~2021.06,"151,360"
"하남시 미사동 208-1,9 신축공사 중 철거공사",비계·구조물해체공사,동진토건㈜,㈜금산세라믹,2021.03~2021.03,"28,000"
풍수해예방 지방하천 소규모 준설공사,토공사,동진토건㈜,경기 하남시,2021.06~2021.07,"41,477"
계 약 명,공 종,원 청 사,발 주 자,공사기간,"공사금액
(천원)"
"용인 신갈 STAYTOWER신갈 신축공사 /
부대토목공사",토공사,㈜야놀자씨앤디,스테이타워컴퍼니,2021.06~2021.07,"53,560"
"하남시 미사동 237-9 근생신축공사 /
토공사 및 가시설공사",토공사,오케이종합건설㈜,이용심,2021.11~2022.01,"165,000"
용인 근린생활시설 부지정리 토공사,토공사,명진건영㈜,명진건영㈜,2021.11~2022.01,"1,045,000"
"역삼동 621-15 근린생활시설 신축공사 /
토공 및 흙막이공사",토공사,주현건설㈜,송홍범 외 2인,2021.02~2022.04,"385,000"
"영등포구 도림동 229-33외 2필지 신축공사 /
기존건물 철거공사",비계·구조물해체공사,동진토건㈜,다우KL,2022.06~2022.06,"25,850"
서울상봉초등학교 철거공사,비계·구조물해체공사,동진토건㈜,서울상봉초등학교,2022.06~2022.06,"21,450"
"하남시 감일동370-12번지외 근린생활시설 신축공사 /
토공사 및 가시설공사",토공사,오케이종합건설㈜,제일상협사,2022.07~2022.12,"297,000"
덕풍근린공원 제3공영주차장 앞 보도옹벽(계단설치)공사,토공사,동진토건㈜,경기 하남시,2022.08~2022.10,"52,758"
시흥장현A9  부대토목공사,토공사,금호건설,한국토지주택공사,2022.09~2023.05,"2,268,538"
미사강변초외 8교 운동장 평탄화 및 소금포설 공사,토공사,동진토건㈜,"경기광주하남
교육지원청",2022.096~2022.10,"29,798"
"고안리 546-2번지외 근린생활시설 신축공사 /
가시설 및 기초CIP공사","토공사, 
보링그라우팅파일공사",오케이종합건설㈜,㈜삼영알앤에프,2022.11~2022.12,"73,700"
상산곡동 13-22 등 2개소 도로구조물 보수공사,철근콘크리트공사,동진토건㈜,경기 하남시,2022.11~2023.01,"86,036"
하산곡동 59 건축물 해체공사,비계·구조물해체공사,동진토건㈜,경기 하남시,2022.11~2022.12,"59,540"
"파주센트럴밸리 일반산업단지 진입도로 개설공사 /
구조물공사",철근콘크리트공사,㈜장안,경기 파주시,2022.11~2022.11,"79,343"
남한고 보도블럭 교체공사,토공사,동진토건㈜,"경기광주하남
교육지원청",2022.12~2022.12,"16,263"
군산호수공원IPARK / 부대토목,부대토목,현대산업개발㈜,㈜하나자산신탁,2023.03~2024.01,"2,890,743"
경산IPARK / 부대토목,부대토목,현대산업개발㈜,한국투자부동산신탁,2023.06~2024.03,"1,765,398"
동탄(2)경부고속도로 직선화공사 / 기존경부고속도로철거,비계·구조물해체공사,HL D&I한라㈜,한국토지주택공사,2023.08~2023.12,"1,573,000"
직할부대 유휴시설 철거공사 (2공구),비계·구조물해체공사,동진토건㈜,수도군단,2023.08~2024.01,"65,841"
울산우정동 APT 기반시설 토목공사,토공사,HL D&I한라㈜,재개발조합,2023.08~2025.06,"3,916,110"
미사동 130-2번지 일원 하수관로 설치 공사,부대토목,동진토건㈜,"경기도 하남시
친환경사업소",2023.10~2024.01,"162,190"
달봄유 외 14교 부분 보도블록 보수공사,토공사,동진토건㈜,"경기도광주하남
교육지원청",2023.11~2023.12,"38,942"
성남산단재생 복합지식산업센터 부대토목공사,토공사,현대산업개발㈜,㈜산단재생2호 위탁관리 부동산 투자,2023.11~2024.03,"1,043,764"
"동탄(2)경부고속도로 직선화공사 
/ 택지조성공사 토공 및 도로공",토공사,HL D&I한라㈜,한국토지주택공사,2024.02~2024.12,"4,821,300"
,,,,,
계 약 명,공 종,원 청 사,발 주 자,공사기간,"공사금액
(천원)"
